treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
PET Scan,pet-scan,Orth/Musculoskeletal,orth-musculoskeletal,6,1,0.1667,2008,2025,3,3,0,1,1,https://apellica.com/appeal-outcomes/california-imr/pet-scan/orth-musculoskeletal
Crowns,crowns,Dental Problems,dental-problems,6,2,0.3333,2008,2019,5,0,1,0,0,https://apellica.com/appeal-outcomes/california-imr/crowns/dental-problems
CT Scan,ct-scan,Ears/Nose/Throat,ears-nose-throat,6,2,0.3333,2002,2025,6,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/ct-scan/ears-nose-throat
Dental Implants,dental-implants,Dental Problems,dental-problems,6,3,0.5000,2010,2025,5,0,1,4,3,https://apellica.com/appeal-outcomes/california-imr/dental-implants/dental-problems
MRI,mri,Chron Pain Synd,chron-pain-synd,6,3,0.5000,2015,2017,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mri/chron-pain-synd
Hormones,hormones,Infectious Disease,infectious-disease,6,3,0.5000,2005,2015,4,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/hormones/infectious-disease
Speech Therapy,speech-therapy,Trauma/ Injuries,trauma-injuries,6,3,0.5000,2003,2021,4,2,0,1,0,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/trauma-injuries
Allergy Testing,allergy-testing,Respiratory System,respiratory-system,6,1,0.1667,2011,2024,2,4,0,2,0,https://apellica.com/appeal-outcomes/california-imr/allergy-testing/respiratory-system
Bariatric Other,bariatric-other,Endocrine/Metabolic,endocrine-metabolic,6,5,0.8333,2002,2018,5,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-other/endocrine-metabolic
Dental Anesthesia,dental-anesthesia,Autism Spectrum,autism-spectrum,6,5,0.8333,2016,2019,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/dental-anesthesia/autism-spectrum
Digestion/GI Rx,digestion-gi-rx,Infectious Disease,infectious-disease,6,3,0.5000,2019,2025,6,0,0,5,2,https://apellica.com/appeal-outcomes/california-imr/digestion-gi-rx/infectious-disease
Emergency Room,emergency-room,Cancer,cancer,6,4,0.6667,2007,2018,1,0,5,0,0,https://apellica.com/appeal-outcomes/california-imr/emergency-room/cancer
Emergency Room,emergency-room,Immuno Disorders,immuno-disorders,6,2,0.3333,2008,2019,0,0,6,0,0,https://apellica.com/appeal-outcomes/california-imr/emergency-room/immuno-disorders
