treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Charite,charite,Orth/Musculoskeletal,orth-musculoskeletal,21,0,0.0000,2005,2005,0,21,0,0,0,https://apellica.com/appeal-outcomes/california-imr/charite/orth-musculoskeletal
Genetic/Genomic Test,genetic-genomic-test,Mental Disorder,mental-disorder,21,2,0.0952,2018,2025,4,17,0,12,0,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/mental-disorder
Lab Work,lab-work,Blood Related Disord,blood-related-disord,21,6,0.2857,2006,2024,4,17,0,3,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/blood-related-disord
Anxiety Rx,anxiety-rx,Mental Disorder,mental-disorder,20,2,0.1000,2019,2025,19,1,0,10,0,https://apellica.com/appeal-outcomes/california-imr/anxiety-rx/mental-disorder
Emergency Room,emergency-room,OB-GYN/ Pregnancy,ob-gyn-pregnancy,20,8,0.4000,2002,2017,0,0,20,0,0,https://apellica.com/appeal-outcomes/california-imr/emergency-room/ob-gyn-pregnancy
Biofeedback,biofeedback,Mental Disorder,mental-disorder,20,2,0.1000,2003,2024,6,14,0,1,0,https://apellica.com/appeal-outcomes/california-imr/biofeedback/mental-disorder
Biologics,biologics,Orth/Musculoskeletal,orth-musculoskeletal,20,10,0.5000,2018,2025,15,5,0,8,5,https://apellica.com/appeal-outcomes/california-imr/biologics/orth-musculoskeletal
Scoping Procedure,scoping-procedure,Digestive System/ GI,digestive-system-gi,20,7,0.3500,2002,2018,8,12,0,0,0,https://apellica.com/appeal-outcomes/california-imr/scoping-procedure/digestive-system-gi
Anti-Fungal,anti-fungal,Foot Disorder,foot-disorder,20,6,0.3000,2003,2024,20,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/anti-fungal/foot-disorder
Admission,admission,Mental Disorder,mental-disorder,20,12,0.6000,2005,2024,19,0,1,2,2,https://apellica.com/appeal-outcomes/california-imr/admission/mental-disorder
MRI,mri,Digestive System/ GI,digestive-system-gi,20,10,0.5000,2011,2024,17,3,0,8,5,https://apellica.com/appeal-outcomes/california-imr/mri/digestive-system-gi
Biologics,biologics,Endocrine/Metabolic,endocrine-metabolic,20,12,0.6000,2020,2025,17,3,0,18,11,https://apellica.com/appeal-outcomes/california-imr/biologics/endocrine-metabolic
Spinal Adjustment,spinal-adjustment,Orth/Musculoskeletal,orth-musculoskeletal,20,7,0.3500,2003,2024,16,3,1,9,4,https://apellica.com/appeal-outcomes/california-imr/spinal-adjustment/orth-musculoskeletal
Pain Medication,pain-medication,Chron Pain Synd,chron-pain-synd,20,3,0.1500,2017,2018,17,3,0,0,0,https://apellica.com/appeal-outcomes/california-imr/pain-medication/chron-pain-synd
Urgent Care,urgent-care,Orth/Musculoskeletal,orth-musculoskeletal,20,11,0.5500,2014,2025,0,0,20,4,3,https://apellica.com/appeal-outcomes/california-imr/urgent-care/orth-musculoskeletal
Biopsy,biopsy,Cancer,cancer,20,9,0.4500,2003,2021,6,13,1,1,1,https://apellica.com/appeal-outcomes/california-imr/biopsy/cancer
Biofeedback,biofeedback,Digestive System/ GI,digestive-system-gi,19,14,0.7368,2004,2022,11,8,0,3,2,https://apellica.com/appeal-outcomes/california-imr/biofeedback/digestive-system-gi
Non-FDA Approved Use,non-fda-approved-use,Immuno Disorders,immuno-disorders,19,6,0.3158,2003,2011,18,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/immuno-disorders
Genetic/Genomic Test,genetic-genomic-test,GU/ Kidney Disorder,gu-kidney-disorder,19,5,0.2632,2018,2025,2,17,0,13,3,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/gu-kidney-disorder
Breast reduction,breast-reduction,Endocrine/Metabolic,endocrine-metabolic,19,8,0.4211,2003,2025,19,0,0,6,4,https://apellica.com/appeal-outcomes/california-imr/breast-reduction/endocrine-metabolic
Genetic/Genomic Test,genetic-genomic-test,Prevention/Good Hlth,prevention-good-hlth,19,8,0.4211,2018,2025,5,14,0,8,4,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/prevention-good-hlth
RTC/ Admit,rtc-admit,Autism Spectrum,autism-spectrum,19,10,0.5263,2011,2019,19,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/rtc-admit/autism-spectrum
Hormones,hormones,Orth/Musculoskeletal,orth-musculoskeletal,19,7,0.3684,2002,2023,18,1,0,1,1,https://apellica.com/appeal-outcomes/california-imr/hormones/orth-musculoskeletal
Special Bed,special-bed,CNS/ Neuromusc Dis,cns-neuromusc-dis,19,5,0.2632,2002,2024,19,0,0,7,3,https://apellica.com/appeal-outcomes/california-imr/special-bed/cns-neuromusc-dis
Botox Injection,botox-injection,Skin Disorders,skin-disorders,19,16,0.8421,2003,2024,15,4,0,6,5,https://apellica.com/appeal-outcomes/california-imr/botox-injection/skin-disorders
Occupational Therapy,occupational-therapy,Mental Disorder,mental-disorder,19,14,0.7368,2004,2023,14,5,0,4,3,https://apellica.com/appeal-outcomes/california-imr/occupational-therapy/mental-disorder
Physical Therapy,physical-therapy,Genetic Diseases,genetic-diseases,19,12,0.6316,2003,2025,19,0,0,6,3,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/genetic-diseases
Cataract Surgery,cataract-surgery,Vision,vision,19,9,0.4737,2003,2022,14,4,1,2,2,https://apellica.com/appeal-outcomes/california-imr/cataract-surgery/vision
Behavioral Therapy,behavioral-therapy,Autism Spectrum,autism-spectrum,19,8,0.4211,2002,2025,16,3,0,2,1,https://apellica.com/appeal-outcomes/california-imr/behavioral-therapy/autism-spectrum
Analgesic Rx,analgesic-rx,Chron Pain Synd,chron-pain-synd,19,8,0.4211,2005,2017,18,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesic-rx/chron-pain-synd
Lab Work,lab-work,Pediatrics,pediatrics,19,2,0.1053,2014,2024,10,9,0,9,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/pediatrics
Stem Cell Transplant,stem-cell-transplant,Cancer,cancer,18,8,0.4444,2002,2014,3,15,0,0,0,https://apellica.com/appeal-outcomes/california-imr/stem-cell-transplant/cancer
Physical Therapy,physical-therapy,Trauma/ Injuries,trauma-injuries,18,3,0.1667,2003,2025,18,0,0,6,1,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/trauma-injuries
Admission,admission,Digestive System/ GI,digestive-system-gi,18,9,0.5000,2008,2025,17,0,1,8,4,https://apellica.com/appeal-outcomes/california-imr/admission/digestive-system-gi
AIDS Wasting Tx,aids-wasting-tx,Infectious Disease,infectious-disease,18,11,0.6111,2002,2025,17,1,0,2,0,https://apellica.com/appeal-outcomes/california-imr/aids-wasting-tx/infectious-disease
Occupational Therapy,occupational-therapy,CNS/ Neuromusc Dis,cns-neuromusc-dis,18,9,0.5000,2002,2017,15,3,0,0,0,https://apellica.com/appeal-outcomes/california-imr/occupational-therapy/cns-neuromusc-dis
Botox Injection,botox-injection,GU/ Kidney Disorder,gu-kidney-disorder,18,8,0.4444,2006,2025,7,11,0,7,4,https://apellica.com/appeal-outcomes/california-imr/botox-injection/gu-kidney-disorder
Clin Trial (I),clin-trial-i,Cancer,cancer,18,5,0.2778,2001,2016,3,15,0,0,0,https://apellica.com/appeal-outcomes/california-imr/clin-trial-i/cancer
Pyschotherapy,pyschotherapy,Mental Disorder,mental-disorder,18,4,0.2222,2002,2006,18,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/pyschotherapy/mental-disorder
SCP Consult Refer,scp-consult-refer,GU/ Kidney Disorder,gu-kidney-disorder,18,12,0.6667,2001,2025,18,0,0,8,5,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/gu-kidney-disorder
Weight Control,weight-control,CNS/ Neuromusc Dis,cns-neuromusc-dis,18,14,0.7778,2016,2025,18,0,0,17,14,https://apellica.com/appeal-outcomes/california-imr/weight-control/cns-neuromusc-dis
CNS Extracranial/Autonomic,cns-extracranial-autonomic,Musculoskeletal,musculoskeletal,18,12,0.6667,2026,2026,7,11,0,18,12,https://apellica.com/appeal-outcomes/california-imr/cns-extracranial-autonomic/musculoskeletal
Anti-inflammatories,anti-inflammatories,Vision,vision,18,14,0.7778,2014,2025,17,1,0,11,8,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/vision
Joint Manipulation,joint-manipulation,Orth/Musculoskeletal,orth-musculoskeletal,18,8,0.4444,2003,2024,16,2,0,6,3,https://apellica.com/appeal-outcomes/california-imr/joint-manipulation/orth-musculoskeletal
Pneumatic Vest,pneumatic-vest,Respiratory System,respiratory-system,17,9,0.5294,2003,2025,12,5,0,6,4,https://apellica.com/appeal-outcomes/california-imr/pneumatic-vest/respiratory-system
Clin Trial (II - IV),clin-trial-ii-iv,Cancer,cancer,17,9,0.5294,2003,2017,5,12,0,0,0,https://apellica.com/appeal-outcomes/california-imr/clin-trial-ii-iv/cancer
Physical Therapy,physical-therapy,Cardiac/Circ Problem,cardiac-circ-problem,17,8,0.4706,2002,2024,17,0,0,3,1,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/cardiac-circ-problem
Non-FDA Approved Use,non-fda-approved-use,Endocrine/Metabolic,endocrine-metabolic,17,13,0.7647,2003,2010,16,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/endocrine-metabolic
C-Pap Machine,c-pap-machine,CNS/ Neuromusc Dis,cns-neuromusc-dis,17,12,0.7059,2019,2025,17,0,0,8,5,https://apellica.com/appeal-outcomes/california-imr/c-pap-machine/cns-neuromusc-dis
Genetic/Genomic Test,genetic-genomic-test,OB-GYN/ Pregnancy,ob-gyn-pregnancy,17,16,0.9412,2018,2019,0,17,0,0,0,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/ob-gyn-pregnancy
Pacemaker/Defib,pacemaker-defib,Cardiac/Circ Problem,cardiac-circ-problem,17,10,0.5882,2019,2025,9,8,0,10,5,https://apellica.com/appeal-outcomes/california-imr/pacemaker-defib/cardiac-circ-problem
Electric Wheelchair,electric-wheelchair,Cardiac/Circ Problem,cardiac-circ-problem,17,2,0.1176,2001,2022,17,0,0,3,0,https://apellica.com/appeal-outcomes/california-imr/electric-wheelchair/cardiac-circ-problem
SCP Consult Refer,scp-consult-refer,Digestive System/ GI,digestive-system-gi,17,12,0.7059,2002,2023,17,0,0,5,4,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/digestive-system-gi
Hormones,hormones,CNS/ Neuromusc Dis,cns-neuromusc-dis,17,10,0.5882,2016,2023,15,2,0,5,3,https://apellica.com/appeal-outcomes/california-imr/hormones/cns-neuromusc-dis
Pain Medication,pain-medication,Immuno Disorders,immuno-disorders,17,4,0.2353,2018,2022,17,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/pain-medication/immuno-disorders
Lab Work,lab-work,Immuno Disorders,immuno-disorders,16,4,0.2500,2015,2025,3,13,0,4,1,https://apellica.com/appeal-outcomes/california-imr/lab-work/immuno-disorders
SCP Consult Refer,scp-consult-refer,Endocrine/Metabolic,endocrine-metabolic,16,7,0.4375,2002,2025,16,0,0,4,2,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/endocrine-metabolic
Mammoplasty,mammoplasty,OB-GYN/ Pregnancy,ob-gyn-pregnancy,16,10,0.6250,2002,2018,16,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mammoplasty/ob-gyn-pregnancy
Orthodontia/ Braces,orthodontia-braces,Dental Problems,dental-problems,16,5,0.3125,2015,2024,16,0,0,5,1,https://apellica.com/appeal-outcomes/california-imr/orthodontia-braces/dental-problems
Tonsillectomy,tonsillectomy,Ears/Nose/Throat,ears-nose-throat,16,5,0.3125,2009,2023,16,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/tonsillectomy/ears-nose-throat
Intensive Outpt Prog,intensive-outpt-prog,Autism Spectrum,autism-spectrum,16,10,0.6250,2017,2025,16,0,0,8,5,https://apellica.com/appeal-outcomes/california-imr/intensive-outpt-prog/autism-spectrum
Lab Work,lab-work,Pregnancy/Childbirth,pregnancy-childbirth,16,0,0.0000,2019,2026,1,15,0,11,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/pregnancy-childbirth
Breast reduction,breast-reduction,GU/ Kidney Disorder,gu-kidney-disorder,16,13,0.8125,2016,2025,16,0,0,14,12,https://apellica.com/appeal-outcomes/california-imr/breast-reduction/gu-kidney-disorder
Hyperbaric O2 Chamb,hyperbaric-o2-chamb,Ears/Nose/Throat,ears-nose-throat,16,5,0.3125,2010,2023,4,12,0,4,2,https://apellica.com/appeal-outcomes/california-imr/hyperbaric-o2-chamb/ears-nose-throat
Lab Work,lab-work,Genetic Diseases,genetic-diseases,15,7,0.4667,2008,2021,5,10,0,1,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/genetic-diseases
Breast Augmentation,breast-augmentation,OB-GYN/ Pregnancy,ob-gyn-pregnancy,15,3,0.2000,2003,2018,15,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/breast-augmentation/ob-gyn-pregnancy
IVIG Therapy,ivig-therapy,OB-GYN/ Pregnancy,ob-gyn-pregnancy,15,1,0.0667,2002,2017,5,10,0,0,0,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/ob-gyn-pregnancy
Electric Scooter,electric-scooter,CNS/ Neuromusc Dis,cns-neuromusc-dis,15,3,0.2000,2002,2025,15,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/electric-scooter/cns-neuromusc-dis
Stem Cell Transplant,stem-cell-transplant,CNS/ Neuromusc Dis,cns-neuromusc-dis,15,5,0.3333,2007,2023,3,12,0,3,2,https://apellica.com/appeal-outcomes/california-imr/stem-cell-transplant/cns-neuromusc-dis
Weight Control,weight-control,GU/ Kidney Disorder,gu-kidney-disorder,15,12,0.8000,2022,2024,12,3,0,15,12,https://apellica.com/appeal-outcomes/california-imr/weight-control/gu-kidney-disorder
Arthritis Rx,arthritis-rx,Skin Disorders,skin-disorders,15,6,0.4000,2008,2025,11,4,0,5,4,https://apellica.com/appeal-outcomes/california-imr/arthritis-rx/skin-disorders
Biologics,biologics,GU/ Kidney Disorder,gu-kidney-disorder,15,12,0.8000,2019,2025,10,5,0,13,11,https://apellica.com/appeal-outcomes/california-imr/biologics/gu-kidney-disorder
Hormones,hormones,Genetic Diseases,genetic-diseases,15,9,0.6000,2008,2025,15,0,0,7,3,https://apellica.com/appeal-outcomes/california-imr/hormones/genetic-diseases
Hormones,hormones,Mental Disorder,mental-disorder,15,9,0.6000,2008,2024,12,3,0,3,1,https://apellica.com/appeal-outcomes/california-imr/hormones/mental-disorder
Emergency Room,emergency-room,Cardiac/Circ Problem,cardiac-circ-problem,15,12,0.8000,2008,2022,3,0,12,1,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/cardiac-circ-problem
Hyperbaric O2 Chamb,hyperbaric-o2-chamb,Skin Disorders,skin-disorders,14,6,0.4286,2006,2025,10,4,0,10,3,https://apellica.com/appeal-outcomes/california-imr/hyperbaric-o2-chamb/skin-disorders
Formulary v Non Form,formulary-v-non-form,Endocrine/Metabolic,endocrine-metabolic,14,4,0.2857,2004,2011,14,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/endocrine-metabolic
Biologics,biologics,Genetic Diseases,genetic-diseases,14,13,0.9286,2019,2025,10,4,0,10,9,https://apellica.com/appeal-outcomes/california-imr/biologics/genetic-diseases
Radiofreq Ablat,radiofreq-ablat,OB-GYN/ Pregnancy,ob-gyn-pregnancy,14,1,0.0714,2006,2018,2,12,0,0,0,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/ob-gyn-pregnancy
Uter Art Emboliz,uter-art-emboliz,OB-GYN/ Pregnancy,ob-gyn-pregnancy,14,2,0.1429,2001,2013,6,8,0,0,0,https://apellica.com/appeal-outcomes/california-imr/uter-art-emboliz/ob-gyn-pregnancy
Diabetic Supplies,diabetic-supplies,Endocrine/Metabolic,endocrine-metabolic,14,8,0.5714,2019,2024,14,0,0,8,5,https://apellica.com/appeal-outcomes/california-imr/diabetic-supplies/endocrine-metabolic
SCP Consult Refer,scp-consult-refer,Cancer,cancer,14,11,0.7857,2004,2024,14,0,0,3,2,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/cancer
Drug Alcohol Behav Hlth Serv,drug-alcohol-behav-hlth-serv,Mental Behav Neur,mental-behav-neur,14,13,0.9286,2026,2026,14,0,0,14,13,https://apellica.com/appeal-outcomes/california-imr/drug-alcohol-behav-hlth-serv/mental-behav-neur
OON Referral,oon-referral,Mental Disorder,mental-disorder,14,8,0.5714,2002,2022,13,1,0,1,1,https://apellica.com/appeal-outcomes/california-imr/oon-referral/mental-disorder
Ultrasound,ultrasound,GU/ Kidney Disorder,gu-kidney-disorder,14,10,0.7143,2004,2025,11,3,0,9,7,https://apellica.com/appeal-outcomes/california-imr/ultrasound/gu-kidney-disorder
Inpt Early Discharge,inpt-early-discharge,Orth/Musculoskeletal,orth-musculoskeletal,14,3,0.2143,2007,2018,14,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/inpt-early-discharge/orth-musculoskeletal
Special Bed,special-bed,Orth/Musculoskeletal,orth-musculoskeletal,14,2,0.1429,2004,2025,14,0,0,5,1,https://apellica.com/appeal-outcomes/california-imr/special-bed/orth-musculoskeletal
Psychological Evaluation,psychological-evaluation,Mental Disorder,mental-disorder,14,5,0.3571,2019,2024,14,0,0,9,2,https://apellica.com/appeal-outcomes/california-imr/psychological-evaluation/mental-disorder
Biologics,biologics,Respiratory System,respiratory-system,14,12,0.8571,2020,2025,14,0,0,11,11,https://apellica.com/appeal-outcomes/california-imr/biologics/respiratory-system
OON Referral,oon-referral,Digestive System/ GI,digestive-system-gi,14,2,0.1429,2002,2020,14,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/oon-referral/digestive-system-gi
Cranial Helmet,cranial-helmet,Pediatrics,pediatrics,14,10,0.7143,2020,2025,14,0,0,12,9,https://apellica.com/appeal-outcomes/california-imr/cranial-helmet/pediatrics
Fibroid Removal,fibroid-removal,OB-GYN/ Pregnancy,ob-gyn-pregnancy,14,6,0.4286,2002,2017,9,4,1,0,0,https://apellica.com/appeal-outcomes/california-imr/fibroid-removal/ob-gyn-pregnancy
Analgesics,analgesics,Immuno Disorders,immuno-disorders,14,2,0.1429,2007,2017,14,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesics/immuno-disorders
Skill Nsg Vsts,skill-nsg-vsts,Genetic Diseases,genetic-diseases,14,6,0.4286,2003,2025,14,0,0,6,3,https://apellica.com/appeal-outcomes/california-imr/skill-nsg-vsts/genetic-diseases
Genetic/Genomic Test,genetic-genomic-test,Endocrine/Metabolic,endocrine-metabolic,13,7,0.5385,2018,2025,6,7,0,6,3,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/endocrine-metabolic
Allergy Rx,allergy-rx,Respiratory System,respiratory-system,13,8,0.6154,2019,2025,12,1,0,10,5,https://apellica.com/appeal-outcomes/california-imr/allergy-rx/respiratory-system
Pain Medication,pain-medication,Digestive System/ GI,digestive-system-gi,13,6,0.4615,2017,2025,13,0,0,7,3,https://apellica.com/appeal-outcomes/california-imr/pain-medication/digestive-system-gi
Formulary v Non Form,formulary-v-non-form,Respiratory System,respiratory-system,13,6,0.4615,2004,2011,13,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/formulary-v-non-form/respiratory-system
Emergency Room,emergency-room,Not Applicable,not-applicable,13,7,0.5385,2009,2017,0,0,13,0,0,https://apellica.com/appeal-outcomes/california-imr/emergency-room/not-applicable
Speech Therapy,speech-therapy,Ears/Nose/Throat,ears-nose-throat,13,6,0.4615,2002,2022,13,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/ears-nose-throat
Sensory Integration,sensory-integration,Autism Spectrum,autism-spectrum,13,7,0.5385,2008,2024,8,5,0,2,1,https://apellica.com/appeal-outcomes/california-imr/sensory-integration/autism-spectrum
EECP Dvc,eecp-dvc,Cardiac/Circ Problem,cardiac-circ-problem,13,4,0.3077,2005,2016,4,9,0,0,0,https://apellica.com/appeal-outcomes/california-imr/eecp-dvc/cardiac-circ-problem
Acute Psych/ Admit,acute-psych-admit,Autism Spectrum,autism-spectrum,13,8,0.6154,2009,2017,13,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/acute-psych-admit/autism-spectrum
Diabetic Medication,diabetic-medication,Endo/Metabolic,endo-metabolic,13,10,0.7692,2026,2026,13,0,0,13,10,https://apellica.com/appeal-outcomes/california-imr/diabetic-medication/endo-metabolic
Admission,admission,Respiratory System,respiratory-system,13,10,0.7692,2009,2025,10,0,3,6,6,https://apellica.com/appeal-outcomes/california-imr/admission/respiratory-system
Anti-inflammatories,anti-inflammatories,GU/ Kidney Disorder,gu-kidney-disorder,13,11,0.8462,2012,2025,12,1,0,6,5,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/gu-kidney-disorder
Walker,walker,CNS/ Neuromusc Dis,cns-neuromusc-dis,13,8,0.6154,2003,2020,8,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/walker/cns-neuromusc-dis
Rx Management,rx-management,Mental Disorder,mental-disorder,13,3,0.2308,2007,2018,12,0,1,0,0,https://apellica.com/appeal-outcomes/california-imr/rx-management/mental-disorder
Radiofreq Ablat,radiofreq-ablat,Endocrine/Metabolic,endocrine-metabolic,13,12,0.9231,2021,2025,6,7,0,13,12,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/endocrine-metabolic
CT Scan,ct-scan,Prevention/Good Hlth,prevention-good-hlth,13,4,0.3077,2002,2025,11,2,0,3,0,https://apellica.com/appeal-outcomes/california-imr/ct-scan/prevention-good-hlth
Special Foods,special-foods,Digestive System/ GI,digestive-system-gi,13,6,0.4615,2006,2020,12,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/special-foods/digestive-system-gi
Pain Medication,pain-medication,GU/ Kidney Disorder,gu-kidney-disorder,12,5,0.4167,2018,2024,11,1,0,8,3,https://apellica.com/appeal-outcomes/california-imr/pain-medication/gu-kidney-disorder
Laparoscopy,laparoscopy,OB-GYN/ Pregnancy,ob-gyn-pregnancy,12,5,0.4167,2004,2014,11,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/laparoscopy/ob-gyn-pregnancy
RTC/Dishcharge,rtc-dishcharge,Mental Disorder,mental-disorder,12,5,0.4167,2005,2006,12,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/rtc-dishcharge/mental-disorder
Special Chair,special-chair,CNS/ Neuromusc Dis,cns-neuromusc-dis,12,9,0.7500,2002,2025,12,0,0,2,2,https://apellica.com/appeal-outcomes/california-imr/special-chair/cns-neuromusc-dis
TENS Unit,tens-unit,Orth/Musculoskeletal,orth-musculoskeletal,12,2,0.1667,2002,2024,8,4,0,3,1,https://apellica.com/appeal-outcomes/california-imr/tens-unit/orth-musculoskeletal
Vitamins,vitamins,Blood Related Disord,blood-related-disord,12,7,0.5833,2018,2025,12,0,0,10,6,https://apellica.com/appeal-outcomes/california-imr/vitamins/blood-related-disord
Infertility Tx,infertility-tx,GU/ Kidney Disorder,gu-kidney-disorder,12,6,0.5000,2019,2025,12,0,0,8,4,https://apellica.com/appeal-outcomes/california-imr/infertility-tx/gu-kidney-disorder
Family Counseling,family-counseling,Mental Disorder,mental-disorder,12,6,0.5000,2009,2024,12,0,0,5,2,https://apellica.com/appeal-outcomes/california-imr/family-counseling/mental-disorder
Appld Behav Analysis,appld-behav-analysis,Mental Disorder,mental-disorder,12,4,0.3333,2014,2024,12,0,0,4,2,https://apellica.com/appeal-outcomes/california-imr/appld-behav-analysis/mental-disorder
Admission,admission,GU/ Kidney Disorder,gu-kidney-disorder,12,8,0.6667,2005,2025,12,0,0,7,6,https://apellica.com/appeal-outcomes/california-imr/admission/gu-kidney-disorder
Biofeedback,biofeedback,GU/ Kidney Disorder,gu-kidney-disorder,12,4,0.3333,2002,2022,1,11,0,2,2,https://apellica.com/appeal-outcomes/california-imr/biofeedback/gu-kidney-disorder
Hormones,hormones,Immuno Disorders,immuno-disorders,12,3,0.2500,2014,2025,9,3,0,4,2,https://apellica.com/appeal-outcomes/california-imr/hormones/immuno-disorders
Anti-virals,anti-virals,Respiratory System,respiratory-system,12,7,0.5833,2007,2025,11,1,0,2,1,https://apellica.com/appeal-outcomes/california-imr/anti-virals/respiratory-system
Urgent Care,urgent-care,Respiratory System,respiratory-system,12,5,0.4167,2008,2025,0,0,12,1,1,https://apellica.com/appeal-outcomes/california-imr/urgent-care/respiratory-system
Admission,admission,Cancer,cancer,12,6,0.5000,2011,2025,12,0,0,6,4,https://apellica.com/appeal-outcomes/california-imr/admission/cancer
Non-FDA Approved Use,non-fda-approved-use,Skin Disorders,skin-disorders,12,8,0.6667,2002,2010,12,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/skin-disorders
Genetic/Genomic Test,genetic-genomic-test,CNS/ Neuromusc Dis,cns-neuromusc-dis,12,10,0.8333,2019,2024,2,10,0,6,4,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/cns-neuromusc-dis
SCP Consult Refer,scp-consult-refer,Mental Disorder,mental-disorder,12,4,0.3333,2002,2025,12,0,0,4,2,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/mental-disorder
Birth Control,birth-control,OB-GYN/ Pregnancy,ob-gyn-pregnancy,11,2,0.1818,2003,2018,9,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/birth-control/ob-gyn-pregnancy
Neuromuscular RX,neuromuscular-rx,Genetic Diseases,genetic-diseases,11,10,0.9091,2019,2025,9,2,0,8,7,https://apellica.com/appeal-outcomes/california-imr/neuromuscular-rx/genetic-diseases
Acupuncture,acupuncture,Ears/Nose/Throat,ears-nose-throat,11,7,0.6364,2002,2022,11,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/acupuncture/ears-nose-throat
Non-FDA Approved Use,non-fda-approved-use,Infectious Disease,infectious-disease,11,5,0.4545,2003,2009,10,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/infectious-disease
Radiofreq Ablat,radiofreq-ablat,GU/ Kidney Disorder,gu-kidney-disorder,11,3,0.2727,2009,2025,4,7,0,7,3,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/gu-kidney-disorder
Ultrasound,ultrasound,Prevention/Good Hlth,prevention-good-hlth,11,7,0.6364,2004,2025,8,3,0,3,3,https://apellica.com/appeal-outcomes/california-imr/ultrasound/prevention-good-hlth
Genetic/Genomic Test,genetic-genomic-test,Pediatrics,pediatrics,11,9,0.8182,2018,2025,4,7,0,6,4,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/pediatrics
Biofeedback,biofeedback,Orth/Musculoskeletal,orth-musculoskeletal,11,5,0.4545,2006,2018,4,7,0,0,0,https://apellica.com/appeal-outcomes/california-imr/biofeedback/orth-musculoskeletal
Inpt Early Discharge,inpt-early-discharge,Cardiac/Circ Problem,cardiac-circ-problem,11,3,0.2727,2007,2018,11,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/inpt-early-discharge/cardiac-circ-problem
Abdominoplasty,abdominoplasty,Skin Disorders,skin-disorders,11,2,0.1818,2019,2024,11,0,0,6,2,https://apellica.com/appeal-outcomes/california-imr/abdominoplasty/skin-disorders
IVIG Therapy,ivig-therapy,Infectious Disease,infectious-disease,11,2,0.1818,2002,2024,6,5,0,4,1,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/infectious-disease
