issuer_name,state,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,external_reviews,external_review_overturn_rate,claims_year,apellica_page
Oscar Insurance Company,TX,764285,38325,50.14490667748288,0.2364,517,0.3404,2024,https://apellica.com/insurer-denial-rates/texas/oscar-insurance-company
"Oscar Health Plan of North Carolina, Inc",NC,17549,875,49.8603909054647,0.3657,34,0.3529,2024,https://apellica.com/insurer-denial-rates/north-carolina/oscar-health-plan-of-north-carolina-inc
Oscar Insurance Company,MO,133294,5920,44.41310186505019,0.3182,53,0.2453,2024,https://apellica.com/insurer-denial-rates/missouri/oscar-insurance-company
Oscar Insurance Company,MI,14778,596,40.33022059818649,0.307,46,0.2391,2024,https://apellica.com/insurer-denial-rates/michigan/oscar-insurance-company
CHRISTUS Health Plan,TX,141176,4256,30.146767155890522,0.3141,0,0,2024,https://apellica.com/insurer-denial-rates/texas/christus-health-plan
"Blue Cross and Blue Shield of Arizona, Inc.",AZ,233016,4769,20.46640574037834,0.3787,180,0.2,2024,https://apellica.com/insurer-denial-rates/arizona/blue-cross-and-blue-shield-of-arizona-inc
Providence Health Plan,OR,16582,301,18.152213243275842,0.7209,,,2024,https://apellica.com/insurer-denial-rates/oregon/providence-health-plan
CareSource North Carolina Co.,NC,44782,728,16.25653164217766,0.1305,,,2024,https://apellica.com/insurer-denial-rates/north-carolina/caresource-north-carolina-co
"Avera Health Plans, Inc.",SD,11752,154,13.104152484683457,0.4481,,,2024,https://apellica.com/insurer-denial-rates/south-dakota/avera-health-plans-inc
Montana Health Cooperative,MT,91410,1163,12.722896838420304,0.2399,16,,2024,https://apellica.com/insurer-denial-rates/montana/montana-health-cooperative
USAble Mutual Insurance Company,AR,669702,7600,11.34833104873511,0.3158,35,0.3714,2024,https://apellica.com/insurer-denial-rates/arkansas/usable-mutual-insurance-company
Sanford Health Plan,SD,35230,365,10.360488220266818,0.5973,,,2024,https://apellica.com/insurer-denial-rates/south-dakota/sanford-health-plan
Blue Cross and Blue Shield of Nebraska,NE,91925,870,9.464237149850423,0.2276,17,,2024,https://apellica.com/insurer-denial-rates/nebraska/blue-cross-and-blue-shield-of-nebraska
"CareSource Ohio, Inc.",OH,562546,5001,8.889939667156108,0.1904,263,0.1787,2024,https://apellica.com/insurer-denial-rates/ohio/caresource-ohio-inc
"CareSource Indiana, Inc.",IN,638511,5621,8.803293913495619,0.1663,436,0.2546,2024,https://apellica.com/insurer-denial-rates/indiana/caresource-indiana-inc
